file_id,text,categories,onset,offset,mapped_labels,fidelity_rating,fidelity_comment
322254,"['A hammer clanging a nail repeatedly.', 'A hammer striking a nail repeatedly.']","[""['Hammer']"", ""['Hammer']""]","[0.0, 14.673244987862986]","[14.176183843287683, 21.25433454204002]",['Hammer'],,
395919,['A dog growls repeatedly.'],"[""['Dog Bark']""]",[0.0],[3.669523404599935],['Dog Bark'],,
495455,"['People cheering and clapping.', 'People are clapping repeatedly.', 'Children laughing in the background.', 'People clapping and cheering.', 'People talking indistinctly in the background.']","[""['Clapping']"", ""['Clapping']"", ""['Laughter']"", ""['Clapping', 'Shout']"", ""['Speech']""]","[0.0, 9.166752079118902, 13.812486976359434, 17.850223011209426, 21.84118990279861]","[6.765936058397285, 15.168792130922949, 15.044074415560786, 23.08836705642023, 23.119000000000003]","['Shout', 'Clapping', 'Laughter', 'Speech']",,
509340,"['Metallic clinking of wind chimes swaying in the breeze, occasional clapping and cheering from people in the distance, and the background hum of a city at night.']","[""['Clapping', 'Wind']""]",[0.0],[15.009773242630386],"['Clapping', 'Wind']",,
516709,"['A brook is running.', 'A stream gurgles gently.']","[""['Stream/River']"", ""['Stream/River']""]","[0.0546431639666175, 0.0546431639666175]","[28.26873015873016, 28.26873015873016]",['Stream/River'],,
565054,"['Strong wind howling.', 'A bird chirps faintly.']","[""['Wind']"", ""['Bird Chirp']""]","[0.0, 2.5817781111816385]","[27.121, 4.051602283389007]","['Wind', 'Bird Chirp']",,
569783,"['A cheerful melody is played by a band with drums, a trumpet, and two electric guitars.', 'Drums playing a cheerful melody.', 'A cheerful melody is played on a trumpet.']","[""['Drums', 'Trumpet', 'Guitar']"", ""['Drums']"", ""['Trumpet']""]","[0.0, 0.0, 0.0]","[28.01100000000001, 28.01100000000001, 28.01100000000001]","['Guitar', 'Drums', 'Trumpet']",,
623752,"['An orchestra plays a melody accompanied by piano, drums, and electronic sounds.']","[""['Piano', 'Drums']""]",[0.0],[27.919],"['Piano', 'Drums']",,
637347,"['The sound of a car driving.', 'A car hits a bump.', 'A car hits a bump.', 'A car hits a bump.', 'A car hits a bump.', 'A car hits a bump.', 'A car hits a bump.', 'A car hits a bump.']","[""['Car']"", ""['Car']"", ""['Car']"", ""['Car']"", ""['Car']"", ""['Car']"", ""['Car']"", ""['Car']""]","[0.0, 3.9936944257395215, 9.058653707348068, 15.428814034601892, 21.03923046961443, 24.993794831793416, 0.0, 12.331396627772053]","[29.318000000000005, 4.285903615063091, 9.68203331123835, 16.188557926843174, 21.604168235640003, 26.04574791335827, 0.7599127305586808, 12.974256844283904]",['Car'],,
639477,"['Rain falling.', 'Thunderstorm sounds.']","[""['Rain']"", ""['Thunder', 'Rain']""]","[0.0, 7.23605868227208]","[24.96731239700849, 13.54093555020352]","['Thunder', 'Rain']",,
680686,['Truck motor noises.'],"[""['Truck']""]",[0.0],[19.23],['Truck'],,
706224,"['A long trumpet note ends abruptly.', 'A long trumpet note ends abruptly.', 'A long trumpet note ends abruptly.']","[""['Trumpet']"", ""['Trumpet']"", ""['Trumpet']""]","[0.2481876385563536, 6.045141767694043, 11.859823585300044]","[4.520560559419298, 10.104782426937255, 15.866]",['Trumpet'],,
710090,['Wind creating pressure in a small metallic space.'],"[""['Wind']""]",[0.0333357619020331],[27.702],['Wind'],,
71298,['Someone is continuously playing drums in a steady rhythm.'],"[""['Drums']""]",[1.473229548229547],[21.831000000000003],['Drums'],,
723542,"['High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'High-frequency repeating computer-generated siren tone.', 'A low-frequency, repeating computer-generated siren tone.', 'A synthetic siren plays repeatedly.', 'A digital siren sounds repeatedly.']","[""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Beep/Bleep']"", ""['Siren']"", ""['Siren']""]","[0.0, 1.227910023870507, 2.499673977164961, 3.749510965747441, 4.999347954329922, 6.249184942912402, 7.499021931494883, 8.748858920077364, 9.97676894394787, 11.248532897242324, 12.476442921112833, 13.726279909695313, 14.976116898277793, 16.22595388686027, 17.453863910730778, 18.70370089931325, 0.0, 0.0]","[1.2717639532944536, 2.499673977164961, 3.771437930459415, 5.021274919041895, 6.271111907624375, 7.520948896206856, 8.770785884789337, 10.020622873371815, 11.248532897242324, 12.520296850536775, 13.748206874407284, 14.998043862989764, 16.247880851572244, 17.497717840154724, 18.72562786402523, 19.975, 19.975, 19.975]","['Beep/Bleep', 'Siren']",,
733143,"['A metallic hammering reverberates.', 'A repeated metallic hammering sound reverberates.', 'A repeated metallic hammering sound reverberates.', 'A loud, repeated metallic hammering reverberates.']","[""['Hammer']"", ""['Hammer']"", ""['Hammer']"", ""['Hammer']""]","[0.0, 2.012194784580499, 7.551648662131519, 13.091102539682542]","[1.9648490249433104, 5.8708741950113374, 12.92539238095238, 23.64920693877551]",['Hammer'],,
74513,"['Several dogs bark loudly and irregularly in the distance.', 'Several dogs bark loudly and irregularly in the distance.']","[""['Dog Bark']"", ""['Dog Bark']""]","[0.3398869619459993, 4.247859739918778]","[2.7429261235565896, 19.224376535007003]",['Dog Bark'],,
754962,['Rain drops falling on a hard surface.'],"[""['Rain']""]",[0.0],[21.59496598639456],['Rain'],,
764917,['An energetic and powerful music segment featuring guitar riffs and drums.'],"[""['Guitar', 'Drums']""]",[0.0],[24.37454990132336],"['Drums', 'Guitar']",,
789504,"['A plane engine is running.', 'Waves gently lap on the shore.']","[""['Airplane']"", ""['Waves']""]","[0.0219958372643461, 17.904611533177746]","[7.203636704073356, 24.107]","['Airplane', 'Waves']",,
